fecha;tipo_registro;depto_municipio;fecha_primer_caso;increm_casos;increm_muertes
19/12/2020;M;94001;28/05/2020;0.0000;0.0000
19/12/2020;M;68755;18/05/2020;0.0531;0.0879
19/12/2020;M;68689;12/06/2020;0.0036;0.0375
19/12/2020;M;76318;05/04/2020;0.0079;0.0437
19/12/2020;M;25320;23/04/2020;0.0423;0.1044
19/12/2020;M;25377;24/03/2020;0.0041;0.0471
19/12/2020;M;97001;12/05/2020;0.0011;0.0011
19/12/2020;M;73319;27/04/2020;0.0065;0.0175
19/12/2020;M;68077;01/06/2020;0.0375;0.1086
19/12/2020;M;19780;21/07/2020;0.0000;0.0313
19/12/2020;M;44035;29/04/2020;0.0114;0.0262
19/12/2020;M;47570;25/04/2020;0.0000;0.0000
19/12/2020;M;5665;13/04/2020;0.0000;0.0000
19/12/2020;M;19455;08/04/2020;0.0000;0.0806
19/12/2020;M;19110;13/05/2020;0.0000;0.0222
19/12/2020;M;8685;08/04/2020;0.0054;0.0165
19/12/2020;M;70742;10/05/2020;0.0016;0.0066
19/12/2020;M;47058;10/06/2020;0.0069;0.0069
19/12/2020;M;52399;09/04/2020;0.0228;0.0456
19/12/2020;M;20238;25/05/2020;0.0000;0.0087
19/12/2020;M;41132;11/05/2020;0.0075;0.0183
19/12/2020;M;5030;31/05/2020;0.0121;0.0615
19/12/2020;M;73283;11/06/2020;0.0080;0.0330
19/12/2020;M;18150;18/07/2020;0.0000;0.0039
19/12/2020;M;63594;13/05/2020;0.0115;0.0357
19/12/2020;M;8520;02/05/2020;0.0016;0.0080
19/12/2020;M;5847;15/07/2020;0.0209;0.0527
19/12/2020;M;70771;19/06/2020;0.0000;0.0000
19/12/2020;M;27361;19/05/2020;0.0000;0.0105
19/12/2020;M;23500;19/06/2020;0.0058;0.0118
19/12/2020;M;5051;08/06/2020;0.0000;0.0000
19/12/2020;M;27077;18/06/2020;0.0000;0.0000
19/12/2020;M;5120;23/03/2020;0.0000;0.0000
19/12/2020;M;8421;19/05/2020;0.0145;0.0338
19/12/2020;M;50573;12/05/2020;0.0336;0.0542
19/12/2020;M;19142;29/04/2020;0.0083;0.0168
19/12/2020;M;70678;24/06/2020;0.0000;0.0308
19/12/2020;M;20178;02/05/2020;0.0024;0.0098
19/12/2020;M;5604;22/06/2020;0.0026;0.0346
19/12/2020;M;20621;25/04/2020;0.0000;0.0106
19/12/2020;M;86573;10/05/2020;0.0000;0.0000
19/12/2020;M;19355;10/08/2020;0.0182;0.0185
19/12/2020;M;20570;29/05/2020;0.0000;0.0062
19/12/2020;M;54261;12/05/2020;0.0085;0.0201
19/12/2020;M;17777;01/06/2020;0.0021;0.0125
19/12/2020;M;13433;03/06/2020;0.0196;0.0408
19/12/2020;M;44874;03/07/2020;0.0156;0.0240
19/12/2020;M;47745;12/05/2020;0.0061;0.0062
19/12/2020;M;25875;24/03/2020;0.0519;0.1192
19/12/2020;M;63190;01/04/2020;0.0137;0.0486
19/12/2020;M;25758;30/03/2020;0.0037;0.0343
19/12/2020;M;20770;16/04/2020;0.0168;0.0249
19/12/2020;M;13670;09/06/2020;0.0000;0.0000
19/12/2020;M;73275;18/05/2020;0.0170;0.0413
19/12/2020;M;76122;24/06/2020;0.0000;0.0095
19/12/2020;M;20710;21/06/2020;0.0085;0.0284
19/12/2020;M;27025;07/06/2020;0.0000;0.0000
19/12/2020;M;8606;13/05/2020;0.0000;0.0182
19/12/2020;M;50350;17/08/2020;0.0000;0.0238
19/12/2020;M;5790;08/06/2020;0.0035;0.0035
19/12/2020;M;66400;17/04/2020;0.0068;0.0340
19/12/2020;M;47318;25/06/2020;0.0180;0.0183
19/12/2020;M;5361;12/05/2020;0.0066;0.0086
19/12/2020;M;52678;17/06/2020;0.0000;0.0244
19/12/2020;M;19318;11/06/2020;0.0000;0.0000
19/12/2020;M;23678;19/06/2020;0.0000;0.0000
19/12/2020;M;5495;06/06/2020;0.0000;0.0000
19/12/2020;M;66594;19/07/2020;0.0170;0.0798
19/12/2020;M;5679;02/07/2020;0.0045;0.0136
19/12/2020;M;5031;24/07/2020;0.0077;0.0400
19/12/2020;M;68615;29/06/2020;0.0043;0.0177
19/12/2020;M;5042;05/06/2020;0.0081;0.0198
19/12/2020;M;41524;24/03/2020;0.0194;0.0265
19/12/2020;M;54720;18/06/2020;0.0000;0.0047
19/12/2020;M;19809;22/05/2020;0.0000;0.0000
19/12/2020;M;19050;28/06/2020;0.0000;0.0000
19/12/2020;M;50689;22/06/2020;0.0308;0.0428
19/12/2020;M;5101;25/06/2020;0.0513;0.1774
19/12/2020;M;18592;07/07/2020;0.0000;0.0021
19/12/2020;M;25245;20/04/2020;0.0000;0.0066
19/12/2020;M;47707;15/06/2020;0.0000;0.0000
19/12/2020;M;25513;23/03/2020;0.0034;0.0069
19/12/2020;M;73555;12/05/2020;0.0149;0.0469
19/12/2020;M;8560;08/04/2020;0.0067;0.0102
19/12/2020;M;41359;18/04/2020;0.0024;0.0192
19/12/2020;M;5895;04/07/2020;0.0057;0.0057
19/12/2020;M;19824;15/05/2020;0.0000;0.0588
19/12/2020;M;52427;10/05/2020;0.0000;0.0000
19/12/2020;M;19212;25/06/2020;0.0000;0.0282
19/12/2020;M;41006;18/04/2020;0.0236;0.0242
19/12/2020;M;13873;11/05/2020;0.0000;0.0234
19/12/2020;M;68861;28/07/2020;0.0080;0.0163
19/12/2020;M;52490;25/05/2020;0.0000;0.0000
19/12/2020;M;85410;25/05/2020;0.0062;0.0157
19/12/2020;M;41615;18/04/2020;0.0000;0.0164
19/12/2020;M;13006;01/07/2020;0.0000;0.0000
19/12/2020;M;25260;01/06/2020;0.0150;0.0310
19/12/2020;M;5607;23/03/2020;0.0323;0.0735
19/12/2020;M;5282;15/07/2020;0.0064;0.0263
19/12/2020;M;41306;11/04/2020;0.0024;0.0024
19/12/2020;M;66088;28/05/2020;0.0105;0.0288
19/12/2020;M;13549;27/06/2020;0.0000;0.0000
19/12/2020;M;19397;04/08/2020;0.0000;0.0000
19/12/2020;M;13654;19/06/2020;0.0000;0.0000
19/12/2020;M;73349;22/05/2020;0.0072;0.0508
19/12/2020;M;76113;10/04/2020;0.0188;0.0270
19/12/2020;M;25200;11/04/2020;0.0047;0.0291
19/12/2020;M;23574;01/06/2020;0.0183;0.0283
19/12/2020;M;25785;16/05/2020;0.0068;0.0282
19/12/2020;M;25799;05/04/2020;0.0000;0.0227
19/12/2020;M;86885;09/07/2020;0.0063;0.0160
19/12/2020;M;47258;25/05/2020;0.0000;0.0213
19/12/2020;M;52110;21/07/2020;0.0211;0.0497
19/12/2020;M;70418;08/05/2020;0.0000;0.0053
19/12/2020;M;8137;17/05/2020;0.0100;0.0204
19/12/2020;M;73585;21/07/2020;0.0096;0.0348
19/12/2020;M;5234;15/06/2020;0.0000;0.0036
19/12/2020;M;5890;28/05/2020;0.0114;0.0173
19/12/2020;M;25743;08/05/2020;0.0359;0.0541
19/12/2020;M;70508;24/06/2020;0.0000;0.0038
19/12/2020;M;47170;20/07/2020;0.0000;0.0000
19/12/2020;M;13473;13/07/2020;0.0000;0.0000
19/12/2020;M;20045;24/05/2020;0.0000;0.0153
19/12/2020;M;70235;14/06/2020;0.0079;0.0161
19/12/2020;M;50226;03/06/2020;0.0132;0.0133
19/12/2020;M;13140;21/04/2020;0.0000;0.0099
19/12/2020;M;19450;04/07/2020;0.0000;0.0235
19/12/2020;M;17013;12/05/2020;0.0000;0.0000
19/12/2020;M;76306;08/04/2020;0.0137;0.0391
19/12/2020;M;15469;10/05/2020;0.0052;0.0522
19/12/2020;M;27250;25/08/2020;0.0000;0.0000
19/12/2020;M;5664;10/07/2020;0.0000;0.0222
19/12/2020;M;8372;17/05/2020;0.0099;0.0254
19/12/2020;M;41770;12/07/2020;0.0000;0.0086
19/12/2020;M;73616;12/07/2020;0.0000;0.0231
19/12/2020;M;76036;08/04/2020;0.0197;0.0410
19/12/2020;M;41020;30/04/2020;0.0000;0.0125
19/12/2020;M;52250;01/06/2020;0.0000;0.0110
19/12/2020;M;73217;13/06/2020;0.0088;0.0180
19/12/2020;M;5674;05/07/2020;0.0347;0.0919
19/12/2020;M;13683;23/04/2020;0.0063;0.0256
19/12/2020;M;5400;13/07/2020;0.0264;0.1093
19/12/2020;M;20550;24/06/2020;0.0000;0.0000
19/12/2020;M;70823;18/06/2020;0.0058;0.0058
19/12/2020;M;25183;24/05/2020;0.0000;0.0207
19/12/2020;M;41807;18/04/2020;0.0276;0.0433
19/12/2020;M;44378;30/05/2020;0.0066;0.0099
19/12/2020;M;54250;24/07/2020;0.0000;0.0125
19/12/2020;M;68235;02/08/2020;0.0141;0.0143
19/12/2020;M;5541;25/07/2020;0.0183;0.0513
19/12/2020;M;5209;08/07/2020;0.0000;0.0625
19/12/2020;M;68432;13/06/2020;0.0022;0.0045
19/12/2020;M;5670;02/06/2020;0.0199;0.0342
19/12/2020;M;73624;10/05/2020;0.0769;0.1064
19/12/2020;M;23079;04/06/2020;0.0097;0.0098
19/12/2020;M;8436;27/04/2020;0.0412;0.0462
19/12/2020;M;19075;21/06/2020;0.0133;0.0135
19/12/2020;M;19845;25/04/2020;0.0053;0.0108
19/12/2020;M;47460;17/07/2020;0.0000;0.0000
19/12/2020;M;17486;04/06/2020;0.0000;0.0207
19/12/2020;M;20032;12/07/2020;0.0000;0.0057
19/12/2020;M;47268;13/05/2020;0.0000;0.0000
19/12/2020;M;5659;14/06/2020;0.0000;0.0000
19/12/2020;M;5284;25/03/2020;0.0000;0.0000
19/12/2020;M;47692;30/05/2020;0.0000;0.0078
19/12/2020;M;20750;10/04/2020;0.0041;0.0338
19/12/2020;M;99001;29/05/2020;0.0079;0.0114
19/12/2020;M;5002;12/07/2020;0.0085;0.0636
19/12/2020;M;81300;06/08/2020;0.0070;0.0214
19/12/2020;M;23464;09/07/2020;0.0000;0.0000
19/12/2020;M;5893;27/07/2020;0.0000;0.0043
19/12/2020;M;52612;03/06/2020;0.0000;0.0230
19/12/2020;M;19300;07/04/2020;0.0000;0.0000
19/12/2020;M;17662;29/04/2020;0.0105;0.0556
19/12/2020;M;52683;07/06/2020;0.0000;0.0069
19/12/2020;M;17541;28/09/2020;0.0400;0.0753
19/12/2020;M;5237;02/04/2020;0.0132;0.0255
19/12/2020;M;20517;15/06/2020;0.0031;0.0155
19/12/2020;M;54206;03/06/2020;0.0000;0.0270
19/12/2020;M;23300;07/06/2020;0.0000;0.0051
19/12/2020;M;8558;28/03/2020;0.0101;0.0119
19/12/2020;M;70221;23/06/2020;0.0000;0.0000
19/12/2020;M;27150;08/07/2020;0.0000;0.0000
19/12/2020;M;86757;29/05/2020;0.0000;0.0190
19/12/2020;M;17653;25/07/2020;0.0092;0.0283
19/12/2020;M;25295;09/05/2020;0.0035;0.0176
19/12/2020;M;52317;01/05/2020;0.0000;0.0000
19/12/2020;M;23419;04/06/2020;0.0085;0.0085
19/12/2020;M;18247;04/07/2020;0.0029;0.0089
19/12/2020;M;70717;18/06/2020;0.0000;0.0042
19/12/2020;M;13744;26/08/2020;0.0000;0.0000
19/12/2020;M;13647;21/06/2020;0.0000;0.0000
19/12/2020;M;73067;27/08/2020;0.0000;0.0317
19/12/2020;M;5040;13/07/2020;0.0090;0.0091
19/12/2020;M;13810;15/06/2020;0.0000;0.0000
19/12/2020;M;76828;23/03/2020;0.0000;0.0000
19/12/2020;M;5591;30/06/2020;0.0000;0.0000
